mode,scenario_id,Q_day,M_self,M_green,M_green_2030,M_sell,min_policy_margin,violation_score
continuous,W5P3,45,0.218253606681853,0.17318872398349,0.12318872398349,0.0182536066818527,0.0182536066818527,0
continuous,W5P3,36,0.12357377879018,0.211676689576174,0.161676689576174,-0.0764262212098203,-0.0764262212098203,0.0764262212098203
continuous,W5P4,72,0.4,0.0127223862517981,-0.0372776137482019,0.2,0.0127223862517981,0
continuous,W5P4,63,0.354190522302245,0.0382482675763233,-0.0117517324236767,0.154190522302245,0.0382482675763233,0
continuous,W5P4,54,0.294687405434848,0.0660407071757541,0.0160407071757541,0.0946874054348484,0.0660407071757541,0
continuous,W5P4,45,0.217563396477637,0.0954392435818625,0.0454392435818625,0.0175633964776373,0.0175633964776373,0
continuous,W5P4,36,0.116704593596805,0.123901417525773,0.0739014175257734,-0.0832954064031955,-0.0832954064031955,0.0832954064031955
continuous,W6P1,72,0.273105230803621,0.291390150654857,0.241390150654857,0.0731052308036214,0.0731052308036214,0
continuous,W6P1,63,0.248161394880966,0.351219669176804,0.301219669176804,0.0481613948809657,0.0481613948809657,0
continuous,W6P1,54,0.214974013635856,0.422188134502055,0.372188134502055,0.0149740136358557,0.0149740136358557,0
continuous,W6P1,45,0.174851905666704,0.511756096133017,0.461756096133017,-0.0251480943332961,-0.0251480943332961,0.0251480943332961
continuous,W6P1,36,0.117262490220186,0.618864189576174,0.568864189576174,-0.0827375097798144,-0.0827375097798144,0.0827375097798144
continuous,W6P2,72,0.4,0.132659550306609,0.0826595503066091,0.2,0.132659550306609,0
continuous,W6P2,63,0.360949693788277,0.171290253373667,0.121290253373667,0.160949693788276,0.160949693788276,0
continuous,W6P2,54,0.308993875765529,0.214524835338979,0.164524835338979,0.108993875765529,0.108993875765529,0
continuous,W6P2,45,0.249978565179353,0.268792189924183,0.218792189924183,0.0499785651793526,0.0499785651793526,0
continuous,W6P2,36,0.182910323709536,0.340654710767469,0.290654710767469,-0.0170896762904637,-0.0170896762904637,0.0170896762904637
continuous,W6P3,72,0.4,-0.02420319479143,-0.07420319479143,0.2,-0.02420319479143,0.02420319479143
continuous,W6P3,63,0.338739363162229,-0.00652185106519909,-0.0565218510651991,0.138739363162229,-0.00652185106519909,0.00652185106519909
continuous,W6P3,54,0.258523195168817,0.00977071262318635,-0.0402292873768136,0.058523195168817,0.00977071262318635,0
continuous,W6P3,45,0.174389925885259,0.0303302011065251,-0.0196697988934749,-0.0256100741147406,-0.0256100741147406,0.0256100741147406
continuous,W6P3,36,0.0875802909689817,0.0586562142038948,0.00865621420389484,-0.112419709031018,-0.112419709031018,0.112419709031018
continuous,W6P4,72,0.4,-0.0853736089030207,-0.135373608903021,0.2,-0.0853736089030207,0.0853736089030207
continuous,W6P4,63,0.366950617283951,-0.0647503808113964,-0.114750380811396,0.166950617283951,-0.0647503808113964,0.0647503808113964
